qid,label,desc,sitelinks,date,image,country
Q24862683,Demon Slayer: Kimetsu no Yaiba,Japanese manga series,42,2016-02-15T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Kimetsu%20no%20Yaiba%20logo.svg,Japan
Q192174,Euphoria,2012 Loreen song,42,2012-02-26T00:00:00Z,,
Q188766,Judas,2011 song by Lady Gaga,42,2011-04-19T00:00:00Z,,United States of America
Q18047903,My Hero Academia,Japanese manga series,42,2014-07-07T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Boku%20no%20Hero%20Academia%20Logo.png,Japan
Q115800,Hold It Against Me,single by Britney Spears,41,2011-01-11T00:00:00Z,,United States of America
Q208094,Peer Gynt,five-act play in verse by the Norwegian dramatist Henrik Ibsen,41,1867-11-14T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Henrik-Klausen-Peer-Gynt-1876.jpg,Norway
Q184920,Till the World Ends,single by Britney Spears,41,2011-03-04T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Till%20the%20World%20Ends%20Logo.png,United States of America
Q156562,Satellite,2010 song by Lena Meyer-Landrut,41,2010-03-13T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Lena%20Oslo3%20cropped.jpg,Germany
Q189369,You and I,2011 song by Lady Gaga,41,2011-08-23T00:00:00Z,,United States of America
Q219610,Shaman King,Japanese manga series,41,1998-06-30T00:00:00Z,,Japan
Q393018,"I, Robot",1950 collection of short stories by Isaac Asimov,40,1950-12-02T00:00:00Z,,United States of America
Q189007,Just Dance,2008 song by Lady Gaga,40,2008-04-08T00:00:00Z,,United States of America
Q308895,We Are the World,1985 USA for Africa song,40,1985-03-28T00:00:00Z,,
Q153044,Alejandro,song by Lady Gaga,39,2010-04-20T00:00:00Z,,United States of America
Q22913800,1944 (song),2016 Jamala song,39,2016-02-12T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/ESC2016%20-%20Ukraine%2003.jpg,Ukraine
Q669694,A Doll's House,1879 play by Henrik Ibsen,39,1879-12-21T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Doll%27s%20House.jpeg,Norway
Q682679,Humat Al Hima,national anthem,39,1987-11-12T00:00:00Z,,
Q190960,LoveGame,2009 single by Lady Gaga,39,2009-03-24T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/LoveGame%20Logo.png,United States of America
Q191070,"Eh, Eh (Nothing Else I Can Say)",2009 song by Lady Gaga,39,2009-01-10T00:00:00Z,,United States of America
Q5174583,Cosmos: A Spacetime Odyssey,2014 American science documentary television series presented by Neil deGrasse Tyson,39,2014-03-09T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Neil%20deGrasse%20Tyson%20August%203%2C%202014.jpg,United States of America
Q780394,Hotel California,1976 single by the Eagles,38,1977-02-22T00:00:00Z,,United States of America
Q6507,Finnegans Wake,comic fiction by James Joyce,38,1939-05-04T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Joyce%20wake.jpg,Ireland
Q164599,Earth Song,1995 single by Michael Jackson,38,1995-12-27T00:00:00Z,,United States of America
Q335987,Rerum Novarum,"encyclical issued by Pope Leo XIII on May 15, 1891",38,1891-05-15T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Leo%20XIII.%20Papst.jpg,
Q147409,Single Ladies (Put a Ring on It),song by American recording artist Beyoncé Knowles,37,2008-10-12T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Beyonce%20with%20two%20female%20dancers%202013.jpg,United States of America
Q623394,Carrie,novel by Stephen King,37,1974-04-05T00:00:00Z,,United States of America|Pembrokeshire
Q15282326,Let It Go,song from the film Frozen,37,2013-11-25T00:00:00Z,,United States of America
Q744564,Somebody to Love,1976 single by Queen,37,1976-11-12T00:00:00Z,,
Q214430,Like a Rolling Stone,1965 single by Bob Dylan,37,1965-07-20T00:00:00Z,,United States of America
Q28306,A Dance with Dragons,novel by George R. R. Martin,37,2011-07-12T00:00:00Z,,United States of America
Q11872,The Steadfast Tin Soldier,fairy tale by H.C. Andersen,36,1838-10-02T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Bertall%20ill%20Intrepide%20Soldat%20de%20plomb%20Le%20Couple.png,Denmark
